frame, ROI found, ROI location, ROI size 
0,0,
1,1,438_205 ,257_257 
2,1,446_213 ,241_241 
3,1,449_214 ,234_234 
4,1,452_218 ,227_227 
5,1,452_218 ,226_226 
6,1,450_216 ,232_232 
7,1,453_220 ,222_222 
8,1,454_221 ,221_221 
9,1,452_219 ,221_221 
10,1,452_219 ,222_222 
11,1,455_222 ,220_220 
12,1,454_219 ,221_221 
13,1,454_218 ,218_218 
14,1,451_218 ,221_221 
15,1,453_220 ,219_219 
16,1,452_216 ,222_222 
17,1,453_221 ,222_222 
18,1,453_221 ,222_222 
19,1,454_220 ,221_221 
20,1,452_218 ,222_222 
21,1,454_221 ,220_220 
22,1,454_219 ,219_219 
23,1,453_218 ,221_221 
24,1,453_218 ,222_222 
25,1,453_221 ,222_222 
26,1,454_220 ,223_223 
27,1,454_219 ,224_224 
28,1,453_219 ,226_226 
29,1,452_219 ,227_227 
30,1,451_219 ,224_224 
31,1,454_220 ,223_223 
32,1,454_218 ,224_224 
33,1,454_219 ,225_225 
34,1,453_219 ,225_225 
35,1,454_219 ,225_225 
36,1,453_220 ,226_226 
37,1,453_218 ,225_225 
38,1,453_218 ,226_226 
39,1,454_218 ,226_226 
40,1,452_216 ,230_230 
41,1,452_219 ,225_225 
42,1,455_220 ,223_223 
43,1,454_219 ,226_226 
44,1,454_217 ,230_230 
45,1,456_218 ,225_225 
46,1,458_220 ,224_224 
47,1,458_219 ,227_227 
48,1,461_219 ,226_226 
49,1,462_219 ,229_229 
50,1,466_218 ,224_224 
51,1,470_218 ,226_226 
52,1,473_217 ,226_226 
53,1,478_216 ,228_228 
54,1,486_218 ,223_223 
55,1,497_219 ,219_219 
56,1,507_220 ,216_216 
57,1,516_220 ,216_216 
58,1,524_221 ,216_216 
59,1,531_219 ,221_221 
60,1,542_219 ,218_218 
61,1,545_217 ,223_223 
62,1,552_218 ,228_228 
63,1,554_215 ,234_234 
64,1,561_216 ,236_236 
65,1,563_215 ,236_236 
66,1,568_215 ,237_237 
67,1,569_213 ,242_242 
68,1,579_217 ,234_234 
69,1,580_215 ,238_238 
70,1,579_215 ,240_240 
71,1,579_212 ,241_241 
72,1,574_210 ,249_249 
73,1,580_214 ,244_244 
74,1,580_216 ,243_243 
75,1,579_214 ,240_240 
76,1,574_211 ,244_244 
77,1,573_215 ,244_244 
78,1,571_217 ,240_240 
79,1,570_215 ,238_238 
80,1,568_215 ,240_240 
81,1,567_215 ,237_237 
82,1,565_217 ,232_232 
83,1,566_219 ,230_230 
84,1,559_217 ,236_236 
85,1,560_220 ,230_230 
86,1,558_219 ,232_232 
87,1,558_223 ,229_229 
88,1,555_223 ,232_232 
89,1,554_225 ,227_227 
90,1,552_224 ,230_230 
91,1,548_221 ,234_234 
92,1,548_223 ,235_235 
93,1,550_222 ,233_233 
94,1,550_221 ,231_231 
95,1,549_223 ,228_228 
96,1,546_223 ,231_231 
97,1,546_218 ,229_229 
98,1,547_218 ,230_230 
99,1,547_221 ,229_229 
