frame, ROI found, ROI location, ROI size 
0,0,
1,1,438_205 ,257_257 
2,1,446_213 ,241_241 
3,1,449_214 ,234_234 
4,1,452_218 ,227_227 
5,1,452_218 ,226_226 
6,1,450_216 ,232_232 
7,1,453_220 ,222_222 
8,1,454_221 ,221_221 
9,1,452_219 ,221_221 
10,1,452_219 ,222_222 
11,1,455_222 ,220_220 
12,1,454_219 ,221_221 
13,1,454_218 ,218_218 
14,1,451_218 ,221_221 
15,1,453_220 ,219_219 
16,1,452_216 ,222_222 
17,1,453_221 ,222_222 
18,1,453_221 ,222_222 
19,1,454_220 ,221_221 
20,1,452_218 ,222_222 
21,1,454_221 ,220_220 
22,1,454_219 ,219_219 
23,1,453_218 ,221_221 
24,1,453_218 ,222_222 
25,1,453_221 ,222_222 
26,1,454_220 ,223_223 
27,1,454_219 ,224_224 
