frame, ROI found, ROI location, ROI size, frame process time 
0,0,,0.000000
1,1,438_205 ,257_257 ,1.000000
2,1,446_213 ,241_241 ,2.000000
3,1,449_214 ,234_234 ,2.000000
4,1,452_218 ,227_227 ,2.000000
5,1,452_218 ,226_226 ,2.000000
6,1,450_216 ,232_232 ,2.000000
7,1,453_220 ,222_222 ,2.000000
8,1,454_221 ,221_221 ,2.000000
9,1,452_219 ,221_221 ,2.000000
10,1,452_219 ,222_222 ,3.000000
11,1,455_222 ,220_220 ,3.000000
12,1,454_219 ,221_221 ,3.000000
13,1,454_218 ,218_218 ,3.000000
14,1,451_218 ,221_221 ,3.000000
15,1,453_220 ,219_219 ,3.000000
16,1,452_216 ,222_222 ,3.000000
17,1,453_221 ,222_222 ,3.000000
18,1,453_221 ,222_222 ,3.000000
19,1,454_220 ,221_221 ,4.000000
20,1,452_218 ,222_222 ,4.000000
21,1,454_221 ,220_220 ,4.000000
22,1,454_219 ,219_219 ,4.000000
23,1,453_218 ,221_221 ,4.000000
24,1,453_218 ,222_222 ,4.000000
25,1,453_221 ,222_222 ,4.000000
